RBG_CYC_83755_Nw_c0_41V_40C_180416_Lowercutoff_100DOD_C5C5_0000_08_1 (269953 Points)
Time (s)	Current (mAh)
242129	-40.38
242429	-40.39
242729	-40.38
243029	-40.38
243329	-40.38
243629	-40.38
243929	-40.38
244229	-40.38
244529	-40.38
244829	-40.38
245129	-40.38
245429	-40.38
245729	-40.39
246029	-40.38
246329	-40.39
246629	-40.38
246929	-40.38
247229	-40.38
247529	-40.38
247829	-40.38
248129	-40.38
248429	-40.38
248729	-40.38
249029	-40.38
249329	-40.38
249629	-40.39
249929	-40.38
250229	-40.38
250529	-40.39
250829	-40.39
251129	-40.38
251429	-40.38
251729	-40.38
252029	-40.38
252329	-40.39
252629	-40.38
252929	-40.38
253229	-40.38
253529	-40.38
253829	-40.38
254075	-40.38
254129	-40.38
254309	-40.38
254429	-40.38
254554	-40.38
254661	-40.38
254729	-40.38
254758	-40.39
254759	40.38
254778	40.38
254828	40.38
254916	40.38
255041	40.39
255058	40.38
255226	40.38
255358	40.38
255607	40.38
255658	40.38
255958	40.38
256258	40.38
256558	40.38
256858	40.38
257158	40.38
257458	40.38
257758	40.39
258058	40.38
258358	40.39
258658	40.38
258958	40.38
259258	40.38
259558	40.38
259858	40.39
260158	40.38
260458	40.39
260758	40.38
261058	40.38
261358	40.38
261658	40.39
261958	40.38
262258	40.38
262558	40.38
262858	40.38
263158	40.38
263458	40.38
263758	40.38
264058	40.38
264358	40.38
264658	40.38
264958	40.39
265258	40.38
265558	40.38
265858	40.38
266158	40.38
266458	40.39
266758	40.38
267058	40.38
267358	40.38
267658	40.39
267958	40.38
268258	40.39
268558	40.38
268858	40.38
269158	40.38
269458	40.38
269758	40.38
270058	40.39
270358	40.38
270658	40.39
270958	40.38
271258	40.39
271558	40.39
271858	40.39
272158	40.38
272458	40.38
272758	40.39
273058	40.39
273358	40.38
273658	40.38
273958	40.38
274258	20.38
274558	10.18
274565	10.05
274566	-40.38
274865	-40.38
275165	-40.38
275465	-40.38
275765	-40.38
276065	-40.38
276365	-40.38
276665	-40.38
276965	-40.39
277265	-40.39
277565	-40.38
277865	-40.38
278165	-40.39
278465	-40.38
278765	-40.38
279065	-40.38
279365	-40.38
279665	-40.38
279965	-40.38
280265	-40.38
280565	-40.39
280865	-40.39
281165	-40.38
281465	-40.38
281765	-40.38
282065	-40.38
282365	-40.38
282665	-40.38
282965	-40.38
283265	-40.38
283565	-40.38
283865	-40.38
284165	-40.38
284465	-40.38
284765	-40.38
285065	-40.38
285365	-40.38
285665	-40.38
285965	-40.38
286265	-40.38
286565	-40.38
286865	-40.38
287165	-40.38
287465	-40.38
287765	-40.38
288065	-40.38
288365	-40.38
288665	-40.38
288965	-40.39
289265	-40.38
289565	-40.39
289865	-40.39
290165	-40.38
290465	-40.38
290765	-40.38
291065	-40.38
291365	-40.38
291665	-40.38
291965	-40.39
292265	-40.38
292565	-40.38
292865	-40.38
293165	-40.38
293402	-40.39
293465	-40.38
293640	-40.38
293765	-40.38
293888	-40.38
293992	-40.38
294065	-40.38
294074	-40.38
294075	40.38
294094	40.39
294146	40.38
294234	40.38
294359	40.38
294374	40.38
294539	40.38
294674	40.38
294923	40.38
294974	40.38
295274	40.39
295574	40.38
295874	40.39
296174	40.38
296474	40.38
296774	40.39
297074	40.38
297374	40.38
297674	40.38
297974	40.39
298274	40.38
298574	40.39
298874	40.38
299174	40.38
299474	40.39
299774	40.38
300074	40.39
300374	40.38
300674	40.38
300974	40.38
301274	40.38
301574	40.38
301874	40.38
302174	40.39
302474	40.38
302774	40.38
303074	40.38
303374	40.38
303674	40.39
303974	40.39
304274	40.38
304574	40.38
304874	40.38
305174	40.38
305474	40.39
305774	40.39
306074	40.38
306374	40.38
306674	40.38
306974	40.38
307274	40.38
307574	40.38
307874	40.38
308174	40.38
308474	40.39
308774	40.38
309074	40.38
309374	40.38
309674	40.38
309974	40.38
310274	40.38
310574	40.38
310874	40.38
311174	40.38
311474	40.39
311774	40.39
312074	40.38
312374	40.38
312674	40.38
312974	40.38
313274	40.38
313574	19.26
313844	10.07
313845	-40.38
314144	-40.38
314444	-40.38
314744	-40.39
315044	-40.38
315344	-40.38
315644	-40.38
315944	-40.38
316244	-40.38
316544	-40.39
316844	-40.38
317144	-40.38
317444	-40.38
317744	-40.38
318044	-40.38
318344	-40.38
318644	-40.38
318944	-40.38
319244	-40.38
319544	-40.38
319844	-40.38
320144	-40.38
320444	-40.38
320744	-40.38
321044	-40.38
321344	-40.38
321644	-40.38
321944	-40.38
322244	-40.38
322544	-40.39
322844	-40.39
323144	-40.39
323444	-40.38
323744	-40.38
324044	-40.38
324344	-40.38
324644	-40.39
324944	-40.38
325244	-40.39
325544	-40.38
325844	-40.38
326144	-40.39
326444	-40.38
326744	-40.38
327044	-40.38
327344	-40.39
327644	-40.38
327944	-40.38
328244	-40.38
328544	-40.39
328844	-40.39
329144	-40.39
329444	-40.38
329744	-40.38
330044	-40.38
330344	-40.38
330644	-40.38
330944	-40.38
331244	-40.38
331544	-40.38
331844	-40.39
332144	-40.38
332444	-40.38
332673	-40.38
332744	-40.38
332915	-40.38
333044	-40.39
333162	-40.39
333264	-40.38
333328	-40.38
333329	40.38
333350	40.39
333403	40.39
333493	40.38
333618	40.39
333628	40.38
333792	40.38
333928	40.38
334171	40.38
334228	40.38
334528	40.38
334828	40.39
335128	40.38
335428	40.38
335728	40.38
336028	40.38
336328	40.38
336628	40.38
336928	40.39
337228	40.38
337528	40.38
337828	40.39
338128	40.38
338428	40.39
338728	40.39
339028	40.38
339328	40.38
339628	40.39
339928	40.38
340228	40.38
340528	40.38
340828	40.38
341128	40.38
341428	40.39
341728	40.38
342028	40.38
342328	40.38
342628	40.38
342928	40.39
343228	40.38
343528	40.38
343828	40.38
344128	40.38
344428	40.38
344823	40.38
345029	40.38
345329	40.38
345629	40.38
345929	40.38
346229	40.39
346528	40.39
346828	40.38
347128	40.39
347428	40.39
347728	40.38
348028	40.38
348328	40.38
348628	40.39
348928	40.38
349228	40.38
349528	40.38
349828	40.39
350128	40.39
350428	40.39
350728	40.39
351028	40.38
351328	40.38
351628	40.38
351928	40.39
352228	40.38
352528	40.38
352828	18.21
353078	10.09
353079	-40.38
353378	-40.39
353678	-40.38
353978	-40.38
354278	-40.38
354578	-40.38
354878	-40.39
355178	-40.38
355478	-40.39
355778	-40.39
356078	-40.39
356378	-40.38
356678	-40.38
356978	-40.39
357278	-40.39
357578	-40.39
357878	-40.38
358178	-40.38
358478	-40.38
358778	-40.39
359078	-40.38
359378	-40.38
359678	-40.38
359978	-40.38
360278	-40.38
360578	-40.39
360878	-40.38
361178	-40.38
361478	-40.39
361778	-40.38
362078	-40.39
362378	-40.38
362678	-40.38
362978	-40.38
363278	-40.38
363578	-40.38
363878	-40.38
364178	-40.39
364478	-40.38
364778	-40.38
365078	-40.38
365378	-40.38
365678	-40.38
365978	-40.38
366278	-40.38
366578	-40.38
366878	-40.38
367178	-40.39
367478	-40.38
367780	-40.38
368080	-40.38
368380	-40.39
368680	-40.38
368980	-40.38
369280	-40.38
369580	-40.38
369880	-40.38
370180	-40.38
370480	-40.38
370780	-40.38
371080	-40.38
371380	-40.39
371680	-40.38
371905	-40.38
371980	-40.38
372147	-40.38
372280	-40.38
372396	-40.38
372493	-40.38
372538	-40.38
372539	40.38
372561	40.39
372616	40.38
372706	40.38
372830	40.38
372838	40.39
372998	40.38
373138	40.38
373379	40.38
373438	40.39
373738	40.38
374038	40.38
374338	40.39
374638	40.39
374938	40.39
375238	40.38
375538	40.38
375838	40.38
376138	40.38
376438	40.38
